Company,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
CocaCola,2012-07-31,80.7,81.33,80.39,80.8,8166800,0,1,34.07344833,34.33944922,33.942559,34.11567069,16333600
CocaCola,2012-06-30,77.13,78.19,77.08,78.19,9259900,0,1,32.56610991,33.01366697,32.54499872,33.01366697,18519800
CocaCola,2012-05-31,74.96,75.22,74.66,74.73,7573800,0,1,31.43523777,31.54427141,31.30942972,31.33878493,15147600
CocaCola,2012-04-30,76.42,76.9,75.93,76.32,13258800,0,1,32.0475036,32.24879648,31.84201713,32.00556759,26517600
CocaCola,2012-03-31,73.62,74.14,73.31,74.01,13277900,0,1,30.87329515,31.09136243,30.7432935,31.03684561,26555800
CocaCola,2012-02-29,68.9,69.98,68.9,69.86,11732200,0,1,28.68566339,29.13530804,28.68566339,29.08534753,23464400
CocaCola,2012-01-31,67.98,67.98,67.18,67.53,6771700,0,1,28.30263276,28.30263276,27.96956265,28.11528083,13543400
CocaCola,2011-12-31,70,70.29,69.97,69.97,3931000,0,1,29.1436348,29.26437271,29.13114467,29.13114467,7862000
CocaCola,2011-11-30,67.34,67.96,66.72,67.23,12650200,0,1,28.03617667,28.29430601,27.77804734,27.99037953,25300400
CocaCola,2011-10-31,68.65,69.05,68.29,68.32,9499300,0,1,28.3800587,28.54541957,28.23123392,28.24363598,18998600
CocaCola,2011-09-30,68.45,69.1,67.56,67.56,12513100,0,1,28.29737827,28.56608967,27.92945034,27.92945034,25026200
CocaCola,2011-08-31,69.87,70.77,69.6608,70.45,11161400,0,1,28.68927247,29.05882085,28.603373,28.92742587,22322800
CocaCola,2011-07-31,68.36,68.85,67.9,68.01,10272800,0,1,28.06925241,28.27045097,27.88037213,27.92553915,20545600
CocaCola,2011-06-30,66.98,67.49,66.82,67.29,7797300,0,1,27.50261156,27.71202231,27.43691407,27.62990045,15594600
CocaCola,2011-05-31,66.94,67.24,66.64,66.81,10147000,0,1,27.28922869,27.41152879,27.16692859,27.23623198,20294000
CocaCola,2011-04-30,67.56,67.77,67.27,67.46,7412100,0,1,27.54198223,27.6275923,27.4237588,27.50121553,14824200
CocaCola,2011-03-31,65.96,66.85,65.96,66.34,8861500,0,1,26.88971503,27.25253866,26.88971503,27.04462849,17723000
CocaCola,2011-02-28,64.17,64.48,63.86,63.92,9685000,0,1,25.97164559,26.09711247,25.8461787,25.87046261,19370000
CocaCola,2011-01-31,62.32,62.85,61.89,62.85,7858900,0,1,25.22289159,25.43739949,25.04885687,25.43739949,15717800
CocaCola,2010-12-31,65.36,65.8,65.36,65.77,5386700,0,1,26.45327654,26.63135857,26.45327654,26.61921662,10773400
CocaCola,2010-11-30,62.95,63.58,62.92,63.17,11775300,0,1,25.47787268,25.73285377,25.46573072,25.56691369,23550600
CocaCola,2010-10-31,61.15,61.5,61.03,61.32,7119800,0,1,24.57875028,24.71942997,24.53051725,24.64708041,14239600
CocaCola,2010-09-30,58.86,59.1588,58.25,58.52,7924800,0,1,23.65830322,23.77840347,23.41311863,23.52164295,15849600
CocaCola,2010-08-31,55.2,56.04,55,55.8825,9283900,0,1,22.020232,22.35532249,21.94044855,22.29249302,18567800
CocaCola,2010-07-31,54.71,55.29,54.43,55.11,8336300,0,1,21.82476255,22.05613455,21.71306572,21.98432945,16672600
CocaCola,2010-06-30,50.38,50.58,50.01,50.12,10966900,0,1,20.09745087,20.17723432,19.94985149,19.99373239,21933800
CocaCola,2010-05-31,51.18,51.9494,51,51.4,11788500,0,1,20.24412744,20.54846178,20.17292887,20.33114792,23577000
CocaCola,2010-04-30,53.62,53.96,53.4,53.45,9674800,0,1,21.20926364,21.34374984,21.12224317,21.14202055,19349600
CocaCola,2010-03-31,54.79,55.29,54.5,55,11461000,0,1,21.67205436,21.86982818,21.55734555,21.75511936,22922000
CocaCola,2010-02-28,53.09,53.09,52.23,52.72,31547700,0,1,20.82864201,20.82864201,20.49124077,20.68348101,63095400
CocaCola,2010-01-31,54.44,54.94,53.9,54.25,11073400,0,1,21.3582835,21.55444702,21.14642691,21.28374137,22146800
CocaCola,2009-12-31,57.58,57.75,56.93,57,5424400,0,1,22.59019038,22.65688597,22.33517781,22.3626407,10848800
CocaCola,2009-11-30,57.29,57.32,56.8,57.2,9442400,0,1,22.47641554,22.48818535,22.28417529,22.4411061,18884800
CocaCola,2009-10-31,54.06,54.27,53.11,53.31,10906100,0,1,21.05820476,21.14000689,20.68814752,20.7660543,21812200
CocaCola,2009-09-30,53.32,53.95,52.6,53.7,14137900,0,1,20.76994964,21.01535602,20.48948521,20.91797254,28275800
CocaCola,2009-08-31,48.84,49.37,48.5,48.77,10660800,0,1,18.87460294,19.07942561,18.74320726,18.84755089,21321600
CocaCola,2009-07-31,49.64,50.2,49.5,49.84,8411100,0,1,19.18376924,19.40018566,19.12966514,19.26106082,16822200
CocaCola,2009-06-30,48.21,48.25,47.81,47.99,15723700,0,1,18.63113447,18.64659279,18.47655132,18.54611374,31447400
CocaCola,2009-05-31,47.01,49.16,46.95,49.16,22718400,0,1,18.01534117,18.8392719,17.99234776,18.8392719,45436800
CocaCola,2009-04-30,43.13,44.07,42.8,43.05,17979600,0,1,16.52843363,16.8886638,16.40196984,16.49777574,35959200
CocaCola,2009-03-31,44.27,44.72,43.86,43.95,11918300,0,1,16.96530852,17.13775914,16.80818685,16.84267697,23836600
CocaCola,2009-02-28,40.96,41.295,40.45,40.85,17724000,0,1,15.53586535,15.6629287,15.34242562,15.49414305,35448000
CocaCola,2009-01-31,43.44,43.68,42.53,42.72,11303700,0,1,16.47651344,16.5675439,16.13135628,16.20342206,22607400
